"city","long","lat"
"Salem",-123.035185,44.942848
"Portland",-122.675021,45.505049
"Eugene",-123.086821,44.052061
"Medford",-122.87558,42.32648
"Bend",-121.315141,44.058083
"Newport",-124.053438,44.636769
"Roseburg",-123.345247,43.209133
"The Dalles",-121.181239,45.600052
"Albany",-123.096111,44.630278
"Grants Pass",-123.328333,42.438889
"McMinnville",-123.197222,45.211667
"Redmond",-121.183611,44.268889
"La Grande",-118.093333,45.327222
"Baker City",-117.834444,44.775
"Ontario",-116.968611,44.026944
"Burns",-119.06,43.586944
"Mapleton",-123.859723,44.035583
"Reedsport",-124.097477,43.702286
"Long Creek",-119.10385,44.713798
"Port Orford",-124.497504,42.748333
"Glendale",-123.427854,42.737295
"Finn Rock",-122.381667,44.129167
"Klamath Falls",-121.781667,42.225
"Arlington",-120.201676,45.71686
"Butte Falls",-122.567859,42.543045
"Alsea",-123.597104,44.381935
"Warrenton",-123.924453,46.165004
"Prospect",-122.488503,42.7544
"Falls City",-123.435524,44.86623
"Silver Lake",-121.047539,43.126935
"Brookings",-124.286389,42.0575
"Ashland",-122.700833,42.191389
"Beaverton",-122.803611,45.486944
"Jordan Valley",-117.055278,42.976389
"Hillsboro",-122.983333,45.516667
"Coos Bay",-124.237222,43.376389
"Tillamook",-123.8425,45.455278
